bndno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10003,1.0,0.0,0.0,1.0,1.0,1.0
10005,0.0,0.0,0.0,0.0,1.0,0.0
10007,10.0,8.0,14.0,10.0,8.0,9.0
10010,1.0,0.0,0.0,0.0,0.0,0.0
10012,5.0,2.0,1.0,5.0,0.0,1.0
10015,3.0,1.0,0.0,0.0,5.0,1.0
10029,0.0,0.0,0.0,0.0,0.0,4.0
10033,5.0,5.0,21.0,0.0,11.0,13.0
10036,0.0,0.0,0.0,1.0,0.0,0.0
10038,2.0,0.0,0.0,1.0,0.0,0.0
10043,0.0,1.0,0.0,0.0,0.0,0.0
10045,10.0,2.0,2.0,9.0,3.0,10.0
10047,0.0,2.0,0.0,0.0,0.0,0.0
10049,0.0,0.0,2.0,0.0,0.0,0.0
10053,1.0,0.0,2.0,1.0,1.0,7.0
10054,0.0,0.0,0.0,0.0,1.0,0.0
10060,6.0,9.0,18.0,25.0,32.0,16.0
10062,12.0,9.0,13.0,9.0,13.0,10.0
10063,0.0,1.0,0.0,1.0,3.0,0.0
10064,9.0,2.0,2.0,5.0,8.0,4.0
10066,5.0,3.0,0.0,0.0,0.0,0.0
10068,5.0,3.0,18.0,41.0,7.0,18.0
10069,2.0,8.0,7.0,5.0,10.0,2.0
10075,0.0,1.0,0.0,0.0,0.0,0.0
10078,0.0,0.0,0.0,1.0,0.0,0.0
10080,16.0,8.0,2.0,11.0,9.0,6.0
10082,0.0,0.0,0.0,0.0,5.0,12.0
10083,0.0,1.0,14.0,0.0,0.0,0.0
10084,6.0,0.0,0.0,0.0,0.0,1.0
10085,2.0,0.0,0.0,0.0,0.0,0.0
10086,22.0,28.0,33.0,15.0,35.0,36.0
10087,1.0,0.0,0.0,0.0,0.0,0.0
10091,37.0,0.0,4.0,35.0,12.0,8.0
10094,3.0,1.0,10.0,3.0,6.0,4.0
10097,1.0,1.0,0.0,0.0,0.0,2.0
10098,7.0,0.0,0.0,0.0,0.0,1.0
10104,23.0,4.0,20.0,10.0,0.0,0.0
10106,4.0,13.0,8.0,8.0,45.0,14.0
10107,37.0,9.0,8.0,10.0,7.0,14.0
10109,1.0,3.0,4.0,0.0,0.0,4.0
10110,1.0,1.0,1.0,1.0,1.0,2.0
10113,7.0,0.0,0.0,0.0,1.0,0.0
10114,3.0,2.0,2.0,0.0,1.0,0.0
10116,18.0,3.0,1.0,4.0,1.0,1.0
10119,2.0,2.0,2.0,0.0,0.0,2.0
10120,0.0,0.0,0.0,3.0,0.0,0.0
10123,3.0,4.0,23.0,2.0,0.0,0.0
10124,16.0,5.0,13.0,13.0,1.0,2.0
10125,1.0,1.0,1.0,1.0,0.0,10.0
10127,26.0,0.0,0.0,14.0,9.0,0.0
10128,0.0,0.0,0.0,4.0,8.0,0.0
10129,1.0,0.0,0.0,2.0,0.0,0.0
10130,0.0,0.0,1.0,2.0,0.0,0.0
10133,5.0,1.0,0.0,0.0,0.0,0.0
10137,3.0,0.0,2.0,0.0,0.0,0.0
10141,0.0,0.0,0.0,0.0,1.0,0.0
10148,0.0,0.0,0.0,18.0,52.0,0.0
10154,5.0,2.0,0.0,1.0,1.0,0.0
10161,2.0,0.0,1.0,4.0,4.0,0.0
10163,1.0,1.0,6.0,6.0,2.0,3.0
10164,0.0,0.0,0.0,0.0,0.0,6.0
10185,2.0,0.0,0.0,0.0,0.0,0.0
10190,1.0,0.0,0.0,0.0,0.0,0.0
10194,0.0,0.0,0.0,1.0,0.0,2.0
10198,4.0,0.0,0.0,0.0,2.0,2.0
10199,0.0,1.0,3.0,2.0,3.0,29.0
10208,0.0,0.0,1.0,0.0,0.0,0.0
10211,12.0,5.0,6.0,13.0,12.0,3.0
10214,0.0,0.0,2.0,0.0,0.0,0.0
10310,0.0,0.0,0.0,0.0,12.0,12.0
10401,0.0,0.0,0.0,0.0,0.0,8.0
10439,2.0,0.0,1.0,0.0,1.0,0.0
10450,0.0,0.0,0.0,1.0,0.0,0.0
10502,0.0,1.0,0.0,0.0,0.0,0.0
10608,11.0,3.0,0.0,2.0,0.0,9.0
10614,0.0,0.0,0.0,10.0,0.0,0.0
10616,4.0,0.0,0.0,0.0,1.0,0.0
10617,0.0,1.0,0.0,0.0,0.0,0.0
10619,0.0,0.0,0.0,0.0,0.0,4.0
10624,1.0,0.0,4.0,2.0,2.0,0.0
10628,0.0,0.0,1.0,0.0,0.0,0.0
10632,6.0,3.0,4.0,2.0,4.0,4.0
10637,3.0,4.0,3.0,0.0,0.0,0.0
10652,3.0,2.0,2.0,0.0,2.0,29.0
10656,0.0,1.0,0.0,0.0,0.0,4.0
10657,0.0,0.0,0.0,0.0,1.0,0.0
10659,7.0,4.0,4.0,11.0,5.0,5.0
10669,2.0,0.0,0.0,0.0,0.0,0.0
10676,0.0,0.0,1.0,0.0,0.0,0.0
10678,0.0,0.0,1.0,0.0,0.0,0.0
10679,1.0,4.0,1.0,2.0,0.0,2.0
10681,0.0,0.0,0.0,0.0,0.0,2.0
10684,0.0,0.0,0.0,0.0,17.0,0.0
10685,5.0,0.0,0.0,0.0,0.0,0.0
10691,0.0,2.0,0.0,1.0,0.0,0.0
10692,1.0,6.0,5.0,0.0,0.0,0.0
10694,0.0,0.0,0.0,1.0,0.0,0.0
10697,1.0,3.0,0.0,0.0,1.0,0.0
10701,5.0,3.0,1.0,0.0,0.0,0.0
10702,4.0,0.0,1.0,4.0,4.0,0.0
10703,4.0,1.0,4.0,1.0,1.0,0.0
10704,0.0,0.0,2.0,0.0,0.0,0.0
10705,4.0,1.0,1.0,0.0,0.0,0.0
10706,20.0,10.0,45.0,24.0,39.0,47.0
10710,3.0,0.0,3.0,2.0,1.0,0.0
10713,0.0,0.0,0.0,0.0,1.0,0.0
10714,0.0,2.0,1.0,0.0,3.0,0.0
10715,1.0,0.0,0.0,0.0,1.0,0.0
10717,1.0,0.0,0.0,0.0,0.0,0.0
10719,28.0,4.0,4.0,0.0,1.0,1.0
10721,0.0,0.0,1.0,0.0,0.0,6.0
10722,6.0,0.0,1.0,0.0,0.0,1.0
10724,13.0,5.0,8.0,4.0,1.0,0.0
10726,1.0,1.0,0.0,0.0,0.0,0.0
10727,0.0,2.0,1.0,1.0,0.0,1.0
10729,0.0,9.0,0.0,3.0,1.0,2.0
10730,0.0,0.0,5.0,0.0,3.0,0.0
10731,0.0,0.0,0.0,2.0,1.0,0.0
10732,0.0,1.0,0.0,0.0,0.0,0.0
10741,3.0,0.0,0.0,0.0,0.0,1.0
11000,0.0,1.0,0.0,0.0,0.0,1.0
11003,0.0,0.0,0.0,0.0,0.0,2.0
11004,4.0,1.0,2.0,0.0,0.0,1.0
11005,1.0,0.0,0.0,0.0,0.0,0.0
11006,1.0,0.0,0.0,2.0,0.0,1.0
11008,0.0,0.0,0.0,2.0,0.0,0.0
11010,0.0,1.0,0.0,0.0,0.0,0.0
11011,5.0,5.0,1.0,3.0,2.0,0.0
11014,0.0,0.0,1.0,0.0,0.0,0.0
11020,3.0,0.0,0.0,0.0,0.0,3.0
11022,5.0,2.0,3.0,1.0,2.0,0.0
11026,2.0,4.0,8.0,2.0,2.0,10.0
11027,0.0,0.0,0.0,0.0,0.0,1.0
11031,0.0,0.0,0.0,0.0,0.0,1.0
11032,0.0,0.0,4.0,2.0,1.0,0.0
11034,0.0,1.0,0.0,1.0,0.0,0.0
11036,2.0,10.0,6.0,1.0,1.0,0.0
11039,1.0,1.0,0.0,0.0,0.0,0.0
11040,0.0,0.0,0.0,0.0,1.0,0.0
11041,0.0,0.0,0.0,0.0,1.0,2.0
11042,0.0,0.0,0.0,0.0,1.0,3.0
11043,0.0,0.0,0.0,0.0,1.0,1.0
11044,0.0,0.0,1.0,3.0,2.0,0.0
11046,1.0,0.0,1.0,2.0,2.0,1.0
11048,3.0,4.0,2.0,0.0,2.0,7.0
11049,0.0,1.0,0.0,9.0,1.0,3.0
11050,0.0,0.0,0.0,1.0,0.0,0.0
11051,0.0,0.0,0.0,1.0,3.0,0.0
11052,2.0,3.0,3.0,0.0,1.0,0.0
11054,2.0,2.0,1.0,1.0,0.0,3.0
11055,1.0,3.0,0.0,0.0,1.0,1.0
11056,0.0,12.0,40.0,6.0,2.0,2.0
11057,5.0,2.0,2.0,0.0,3.0,1.0
11058,1.0,0.0,1.0,0.0,0.0,0.0
11067,0.0,0.0,0.0,1.0,0.0,0.0
11069,1.0,0.0,0.0,0.0,0.0,0.0
11072,0.0,0.0,0.0,1.0,0.0,0.0
11075,0.0,1.0,1.0,0.0,0.0,0.0
11079,2.0,5.0,1.0,2.0,4.0,7.0
11081,1.0,0.0,1.0,0.0,0.0,0.0
11085,1.0,0.0,0.0,0.0,0.0,0.0
11091,1.0,0.0,0.0,0.0,0.0,0.0
11092,0.0,0.0,0.0,0.0,1.0,0.0
11093,0.0,0.0,0.0,0.0,4.0,1.0
11094,0.0,1.0,3.0,1.0,3.0,1.0
11097,1.0,0.0,0.0,1.0,0.0,2.0
11098,0.0,0.0,0.0,1.0,0.0,0.0
11100,0.0,0.0,0.0,0.0,0.0,4.0
11101,0.0,0.0,1.0,0.0,0.0,1.0
11102,1.0,0.0,0.0,0.0,2.0,0.0
11103,0.0,0.0,0.0,1.0,1.0,1.0
11104,0.0,1.0,0.0,4.0,0.0,0.0
11105,0.0,0.0,0.0,0.0,1.0,0.0
11106,2.0,0.0,1.0,1.0,3.0,3.0
11107,0.0,0.0,1.0,0.0,0.0,0.0
11110,9.0,8.0,44.0,152.0,43.0,5.0
11111,1.0,2.0,1.0,1.0,0.0,1.0
11112,4.0,1.0,0.0,4.0,0.0,0.0
11114,3.0,9.0,2.0,4.0,6.0,2.0
11115,1.0,1.0,1.0,0.0,0.0,0.0
11116,2.0,0.0,0.0,2.0,1.0,3.0
11119,1.0,0.0,0.0,1.0,1.0,0.0
11121,0.0,1.0,0.0,0.0,2.0,0.0
11123,2.0,6.0,3.0,4.0,1.0,3.0
11126,0.0,0.0,0.0,0.0,0.0,1.0
11127,0.0,0.0,1.0,0.0,0.0,0.0
11128,1.0,2.0,2.0,1.0,0.0,1.0
11129,11.0,6.0,3.0,5.0,7.0,14.0
11130,1.0,1.0,1.0,0.0,0.0,0.0
11131,0.0,0.0,0.0,0.0,1.0,0.0
11132,0.0,0.0,0.0,0.0,0.0,1.0
11133,1.0,0.0,2.0,0.0,1.0,1.0
11137,1.0,0.0,0.0,0.0,0.0,0.0
11139,0.0,0.0,0.0,0.0,0.0,5.0
11140,0.0,0.0,2.0,0.0,0.0,0.0
11141,4.0,1.0,2.0,1.0,0.0,6.0
11144,1.0,2.0,0.0,1.0,0.0,1.0
11145,0.0,0.0,0.0,0.0,2.0,0.0
11146,0.0,0.0,1.0,0.0,1.0,0.0
11148,0.0,0.0,1.0,0.0,2.0,1.0
11149,0.0,0.0,2.0,2.0,0.0,0.0
11150,0.0,1.0,1.0,0.0,0.0,6.0
11151,0.0,0.0,1.0,0.0,0.0,0.0
11152,0.0,0.0,0.0,1.0,0.0,1.0
11154,5.0,2.0,8.0,4.0,5.0,2.0
11156,0.0,4.0,1.0,1.0,2.0,1.0
11159,11.0,4.0,11.0,4.0,9.0,4.0
11164,0.0,1.0,0.0,0.0,0.0,0.0
11165,0.0,1.0,1.0,0.0,0.0,1.0
11168,0.0,1.0,0.0,0.0,0.0,0.0
11200,1.0,2.0,0.0,1.0,2.0,1.0
11201,1.0,0.0,1.0,0.0,0.0,0.0
