bndno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
10003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,9.0,0.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,4.0,2.0,3.0,0.0
10010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10015,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
10029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
10033,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,7.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,1.0,0.0,3.0,9.0,0.0
10036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
