pluno,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29,2016-04-30,2016-05-01,2016-05-02,2016-05-03,2016-05-04,2016-05-05,2016-05-06,2016-05-07,2016-05-08,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-13,2016-05-14,2016-05-15,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-20,2016-05-21,2016-05-22,2016-05-23,2016-05-24,2016-05-25,2016-05-26,2016-05-27,2016-05-28,2016-05-29,2016-05-30,2016-05-31,2016-06-01,2016-06-02,2016-06-03,2016-06-04,2016-06-05,2016-06-06,2016-06-07,2016-06-08,2016-06-09,2016-06-10,2016-06-11,2016-06-12,2016-06-13,2016-06-14,2016-06-15,2016-06-16,2016-06-17,2016-06-18,2016-06-19,2016-06-20,2016-06-21,2016-06-22,2016-06-23,2016-06-24,2016-06-25,2016-06-26,2016-06-27,2016-06-28,2016-06-29,2016-06-30,2016-07-01,2016-07-02,2016-07-03,2016-07-04,2016-07-05,2016-07-06,2016-07-07,2016-07-08,2016-07-09,2016-07-10,2016-07-11,2016-07-12,2016-07-13,2016-07-14,2016-07-15,2016-07-16,2016-07-17,2016-07-18,2016-07-19,2016-07-20,2016-07-21,2016-07-22,2016-07-23,2016-07-24,2016-07-25,2016-07-26,2016-07-27,2016-07-28,2016-07-29,2016-07-30,2016-07-31
10,30.0,44.0,57.0,13.0,40.0,54.0,9.0,36.0,11.0,10.0,5.0,6.0,11.0,8.0,13.0,16.0,4.0,11.0,9.0,34.0,7.0,7.0,2.0,7.0,2.0,9.0,12.0,17.0,3.0,14.0,1.0,7.0,2.0,10.0,5.0,0.0,6.0,1.0,1.0,2.0,11.0,6.0,4.0,11.0,5.0,2.0,30.0,13.0,3.0,9.0,2.0,9.0,4.0,13.0,20.0,9.0,5.0,7.0,5.0,9.0,26.0,17.0,25.0,15.0,12.0,3.0,15.0,7.0,6.0,5.0,6.0,8.0,7.0,8.0,31.0,9.0,17.0,20.0,7.0,8.0,8.0,4.0,5.0,28.0,7.0,21.0,9.0,0.0,19.0,16.0,20.0,14.0,10.0,1.0,12.0,18.0,8.0,13.0,6.0,3.0,7.0,28.0,12.0,26.0,18.0,9.0,17.0,2.0,3.0,7.0,21.0,13.0,4.0,2.0,3.0,2.0,13.0,55.0,13.0,5.0,4.0,10.0,6.0,6.0,35.0,5.0,7.0,29.0,7.0,28.0,17.0,14.0,4.0,6.0,5.0,4.0,28.0,10.0,6.0,16.0,48.0,12.0,8.0,2.0,22.0,15.0,16.0,11.0,16.0,26.0,5.0,10.0,20.0,14.0,9.0,22.0,10.0,4.0,7.0,20.0,5.0,1.0,10.0,15.0,5.0,15.0,8.0,8.0,13.0,4.0,9.0,5.0,17.0,51.0,23.0,6.0,23.0,9.0,8.0,23.0,15.0,9.0
11,10.0,19.0,4.0,5.0,3.0,15.0,11.0,3.0,0.0,4.0,4.0,5.0,6.0,1.0,18.0,17.0,6.0,2.0,12.0,1.0,12.0,8.0,2.0,8.0,5.0,6.0,13.0,8.0,14.0,5.0,5.0,0.0,0.0,9.0,9.0,5.0,3.0,2.0,10.0,6.0,9.0,23.0,8.0,7.0,5.0,7.0,5.0,10.0,13.0,8.0,0.0,8.0,7.0,20.0,12.0,21.0,2.0,3.0,2.0,0.0,5.0,10.0,49.0,16.0,26.0,0.0,2.0,4.0,15.0,7.0,10.0,4.0,4.0,8.0,4.0,23.0,13.0,10.0,15.0,4.0,10.0,2.0,4.0,18.0,10.0,1.0,3.0,15.0,2.0,9.0,15.0,4.0,6.0,11.0,0.0,10.0,16.0,4.0,4.0,1.0,1.0,5.0,14.0,5.0,10.0,5.0,0.0,3.0,0.0,7.0,5.0,3.0,16.0,5.0,2.0,6.0,6.0,14.0,17.0,148.0,4.0,5.0,4.0,5.0,9.0,16.0,3.0,6.0,11.0,6.0,4.0,7.0,10.0,11.0,7.0,0.0,47.0,4.0,6.0,9.0,3.0,1.0,3.0,4.0,1.0,8.0,12.0,4.0,0.0,3.0,8.0,8.0,22.0,5.0,5.0,3.0,5.0,4.0,2.0,7.0,8.0,4.0,14.0,8.0,9.0,8.0,10.0,24.0,4.0,2.0,3.0,9.0,5.0,9.0,12.0,7.0,17.0,9.0,13.0,2.0,6.0,16.0
14,44.49,47.0,30.752,28.214,26.354,90.25200000000001,21.372,36.0,352.0,23.0,14.0,15.0,35.0,11.0,47.368,24.0,14.0,25.0,17.0,38.0,41.296,62.0,7.0,28.0,5.0,21.0,50.0,23.0,8.0,16.226,10.0,11.0,19.0,48.286,26.438,18.0,6.0,10.0,21.0,15.0,31.0,36.0,9.0,52.372,9.0,10.0,33.0,69.578,22.0,25.0,19.0,33.0,9.0,34.076,26.116,41.0,13.0,18.0,18.158,11.0,34.706,70.18,48.0,37.522,29.0,16.426000000000002,9.0,24.0,31.0,24.0,9.238,23.25,7.1,19.0,39.0,52.0,35.0,25.0,9.0,11.0,10.0,10.0,35.0,16.0,21.412,27.0,19.0,7.0,9.0,38.0,20.709999999999997,27.354,17.0,35.75,5.580000000000001,51.0,32.17,9.35,29.0,21.0,14.348,34.668000000000006,14.466,43.0,36.19,15.0,8.0,11.0,32.426,10.0,42.042,34.0,32.0,12.0,28.0,10.0,19.46,33.0,27.0,27.0,9.0,18.0,22.0,7.362,33.0,37.194,9.0,28.0,10.14,52.546,12.0,35.929,34.158,17.182000000000002,14.268,12.504,25.0,16.59,20.0,25.322,10.0,9.0,28.0,16.0,20.0,20.0,48.0,7.0,17.0,14.0,27.0,40.0,37.0,26.0,21.0,12.0,16.0,17.0,12.0,43.0,36.0,17.0,24.0,19.0,16.476,53.382,46.19,21.0,29.0,6.0,15.0,22.0,28.0,23.8,31.010000000000005,34.0,28.0,11.0,31.0,29.168,19.082,36.626000000000005
15,40.31,52.0,56.0,67.0,63.0,140.324,10.0,18.0,29.0,23.0,32.0,19.0,23.0,24.0,71.0,40.0,21.0,26.0,14.0,22.0,32.0,76.0,42.0,21.0,16.0,76.0,79.0,15.0,37.0,42.0,10.0,30.0,5.0,69.0,60.0,22.0,17.0,26.0,31.0,28.0,80.0,58.0,33.0,47.0,15.0,23.0,14.0,88.0,80.0,125.0,24.0,16.0,5.0,38.0,50.0,68.0,40.0,64.0,70.0,21.0,45.0,52.0,79.0,71.0,48.0,16.0,27.0,58.0,29.0,35.0,707.0,36.0,31.0,32.0,70.0,54.0,62.0,16.0,29.0,53.0,21.0,36.0,21.0,43.0,17.0,33.0,16.0,22.0,26.0,75.0,72.0,23.0,24.0,63.0,16.0,68.0,50.0,43.0,82.0,10.0,58.0,23.0,35.0,59.0,783.0,25.0,25.0,24.0,36.0,41.0,71.0,76.0,98.0,46.0,13.0,25.0,59.0,72.0,32.0,12.0,8.0,69.0,22.0,36.0,65.0,70.0,12.0,56.0,13.0,65.0,40.0,65.0,39.0,35.0,27.0,32.0,45.0,34.0,70.0,43.0,8.0,31.0,47.0,32.0,82.0,55.0,86.0,14.0,35.0,37.0,44.0,40.0,66.0,97.0,67.0,13.0,30.0,36.0,16.0,52.0,43.0,28.0,35.0,77.0,26.0,81.0,45.0,46.0,24.0,36.0,76.0,29.0,47.0,88.0,51.0,61.0,69.0,49.0,18.0,57.0,39.0,98.0
20,4.406,0.0,1.5819999999999999,1.7680000000000002,1.304,0.7859999999999999,0.0,0.0,0.0,434.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.516,2.0,0.0,0.0,1.556,0.804,0.0,0.534,0.0,1.2639999999999998,1.516,0.0,0.25,246.0,1.2919999999999998,0.168,296.0,0.0,0.162,242.0,0.0,0.392,0.0,0.0,0.0,0.004,0.0,0.562,0.0,0.0,0.948,0.006999999999999999,0.0,0.0,0.374,0.456,1.576,0.0,0.0,0.0,0.0,2.0260000000000002,1.576,4.494,0.0,0.0,0.0,1.004,0.0,0.0,1.208,0.0,0.0,0.007,0.0,1.1480000000000001,538.0,0.002,0.0,380.106,0.0,0.0,0.248,0.0,0.804,0.0,0.0,0.764,0.0,0.0,0.0,0.304,0.004,0.004,1.113,436.0,0.0,0.318,0.0,0.0,0.0,0.11800000000000001,0.741,0.0,0.728,0.8200000000000001,0.0,0.134,0.134,0.0,0.0,0.385,222.0,0.365,0.818,0.001,0.0,0.0,0.14400000000000002,0.0,0.0,0.0,0.18600000000000003,0.0,0.0,1.712,0.7120000000000001,0.0,0.0,0.0,0.452,0.0,0.226,0.0,0.124,0.0,0.0,0.0,0.0,0.0,1.4120000000000001,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08800000000000001,0.0,0.5,0.632,0.0,0.0,0.38799999999999996,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.8,0.0,3.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.045
21,0.9059999999999999,0.426,0.103,0.001,0.0,3.809,0.0,0.0,0.0,0.51,1.05,0.0,0.0,0.752,0.94,0.0,0.62,0.10800000000000001,0.762,4.247999999999999,0.768,0.0,4.064,2.242,0.0,0.0,1.8619999999999999,0.7240000000000001,1.246,0.0,0.0,1.724,0.0,4.426,2.274,0.0,0.126,1.3519999999999999,0.0,1.88,0.79,0.532,0.0,1.29,0.0,0.003,0.092,0.124,0.0,0.67,0.28600000000000003,0.172,0.774,0.0,0.0,0.326,0.0,0.488,0.10800000000000001,0.0,0.0,2.944,1.674,0.776,0.0,0.0,0.5,0.0,0.6579999999999999,0.0,0.0,0.0,0.0,0.098,0.0,527.2660000000001,2.938,0.782,1.464,2.9,0.0,0.0,0.0,0.71,0.0,0.0,0.9,3.33,3.4440000000000004,2.948,3.6840000000000006,0.0,1.248,0.0,0.0,2.11,3.1860000000000004,0.262,0.0,0.0,0.0,0.0,2.824,0.0,1.234,0.0,0.268,0.794,0.0,0.0,2.416,0.0,0.506,0.0,0.0,0.392,0.672,1.01,1.2799999999999998,0.8140000000000001,0.0,1.062,0.888,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.0,1.358,0.0,1.05,1.024,2.88,2.054,0.12,0.136,0.19,0.0,1.058,0.0,0.0,0.08800000000000001,0.516,3.894,1.6400000000000001,2.5519999999999996,0.74,0.185,0.0,0.17,0.001,0.45,0.0,0.0,0.439,0.36200000000000004,0.78,0.0,0.696,2.84,0.0,0.634,0.0,0.0,0.092,0.0,0.122,0.298,1.6580000000000001,0.0,0.0,0.6639999999999999,0.0,0.0,0.6940000000000001,1.366
22,19.049999999999997,18.67,27.072000000000003,156.92000000000004,146.04499999999993,56.504,17.910999999999998,129.74200000000002,10.185,10.164000000000001,19.228,22.367,18.197999999999997,16.734999999999996,39.18799999999999,21.483000000000004,24.936000000000003,24.180999999999997,17.996,26.527,29.588000000000005,30.752000000000006,9.216000000000001,23.081000000000003,16.573,14.672999999999998,12.661999999999997,21.698,13.926,17.075,12.807000000000002,8.733,13.393999999999998,29.563000000000006,13.533,8.940999999999999,16.706,6.476999999999999,4.611,16.204,23.959000000000003,14.402999999999999,7.5200000000000005,18.518,17.223,6.450999999999999,5.853999999999999,23.650000000000006,18.594000000000012,283.15999999999997,18.625999999999998,28.04,7.247999999999999,18.999,13.036000000000001,17.975,11.989999999999998,31.066000000000006,9.616000000000003,17.762,17.015,27.912999999999997,14.480999999999998,4.395,14.855999999999998,6.742000000000001,13.645000000000001,17.696,13.222,23.944000000000003,2.784,10.914000000000001,14.152000000000003,13.592,10.907,21.974999999999998,30.928,7.961,9.664000000000003,19.844000000000005,10.812000000000001,16.206000000000003,12.538,26.899000000000004,7.301999999999999,18.413999999999998,16.502000000000002,30.033000000000005,23.974000000000004,35.815,20.419,21.294,7.772,13.927999999999997,10.422999999999998,29.769000000000005,31.310000000000002,8.620000000000001,17.426,2.188,24.120000000000005,11.880999999999998,11.460999999999997,37.251999999999995,24.249999999999996,24.933000000000003,28.903,23.688000000000002,5.662000000000001,26.544999999999995,35.59500000000001,422.90399999999994,21.625,9.05,13.003999999999998,14.250999999999998,5.668,27.947000000000006,24.394,24.745,3.552,17.209999999999997,20.457,8.794,11.831,30.069000000000003,11.092,30.290000000000013,24.999999999999996,18.065999999999995,8.191,18.416999999999998,4.954,8.377999999999998,15.325,6.013999999999999,36.998000000000005,55.26300000000001,62.31,23.316,12.953999999999999,9.795,11.318000000000001,25.362,26.044,4.344,13.738,13.923999999999998,6.34,18.461999999999996,23.153999999999996,32.15599999999999,17.912000000000003,22.994999999999997,8.798,3.8869999999999996,6.228,9.314,6.364000000000001,19.602,9.762,7.886,16.517999999999997,5.112,9.606,16.16,19.587999999999997,4.4959999999999996,2.334,5.518000000000001,27.205000000000002,3.524,7.947999999999999,19.981,17.817999999999998,10.736,12.518,14.681999999999999,9.277000000000001,12.117,15.885,11.591
23,90.946,27.331,215.49300000000002,44.873,86.58400000000002,66.86600000000001,3.001,4.7620000000000005,10.450999999999999,88.448,0.129,12.003,42.56499999999999,166.002,208.18599999999998,10.001,0.002,128.001,25.598,30.461000000000002,145.87900000000002,12.010000000000002,0.609,32.208,0.21,14.714,176.88200000000006,75.45700000000002,31.254,155.292,0.001,12.0,13.093,293.9889999999999,106.001,2.002,25.102,32.0,76.0,0.37200000000000005,97.057,21.740000000000002,33.001999999999995,85.80199999999999,42.305,0.41000000000000003,21.759,91.142,52.398999999999994,16.204,42.27299999999999,91.60700000000001,11.0,112.366,176.11399999999998,56.00399999999999,1.9039999999999997,41.352,15.001,3.1999999999999993,127.53,379.0439999999999,96.364,69.242,30.002000000000002,11.001,11.0,77.0,55.0,10.602,22.148,50.721,40.003,28.242,73.47,269.20599999999996,77.159,22.384999999999998,34.186,30.834,40.43,74.29400000000001,34.803,283.00199999999995,0.456,147.30599999999998,21.822,62.364999999999995,50.068000000000005,229.0,143.149,44.721000000000004,37.705999999999996,11.634999999999998,3.001,97.482,32.016,45.65299999999999,10.186,21.003000000000004,59.54599999999999,106.28100000000002,228.00400000000002,41.233999999999995,73.25200000000001,22.208,0.002,26.438,43.878,89.241,44.89099999999999,220.273,43.815,31.979999999999997,89.64500000000001,11.001,59.263999999999996,179.03799999999998,20.465999999999998,12.001,3.23,107.81400000000001,33.25900000000001,88.027,16.15,44.382,1.4060000000000001,32.467,33.88699999999999,35.257,13.0,25.457,56.0,10.0,42.001,12.001999999999999,41.32899999999999,0.608,43.995999999999995,36.184,14.357,52.199999999999996,21.306,51.97899999999999,54.089999999999996,30.999000000000002,153.147,32.385999999999996,58.714000000000006,1.977,43.903,45.394,58.0,152.145,53.0,58.961999999999996,33.862,12.156,22.075999999999997,36.001000000000005,21.477,45.142,1.001,14.003,26.503,15.199,30.76,3.466,22.674,42.409,26.55,64.006,34.317,41.564,37.401999999999994,10.306000000000001,33.021,25.355,22.439000000000004,35.26899999999999,25.148000000000003,73.474
24,6.168,2.194,1.772,5.148,4.614,6.510000000000001,1.1360000000000001,1.386,1.854,1.6440000000000001,1.912,1.6760000000000002,0.8859999999999999,0.156,0.91,6.082000000000001,0.8840000000000001,1.452,0.0,3.718,2.358,4.804,1.01,0.98,0.0,1.834,4.507999999999999,1.742,0.502,0.102,1.7020000000000002,0.0,0.266,1.292,0.667,0.612,1.552,0.0,0.44799999999999995,1.732,4.324000000000001,3.71,0.35600000000000004,2.4539999999999997,0.954,1.034,0.436,4.788,0.276,2.198,2.6559999999999997,1.4200000000000002,0.376,3.336,3.736,3.7039999999999997,0.32599999999999996,1.1560000000000001,0.568,0.8360000000000001,3.984,7.048000000000001,0.31,5.921999999999999,1.758,1.6219999999999999,0.982,1.52,0.872,1.54,0.0,0.37200000000000005,1.306,2.744,0.88,2.818,2.19,1.266,0.46399999999999997,0.574,0.754,1.3459999999999999,2.5,0.878,2.004,2.62,2.334,0.36200000000000004,2.4960000000000004,1.022,4.142,0.8440000000000001,0.406,2.704,0.414,0.258,3.816,0.5680000000000001,2.0439999999999996,0.9040000000000001,0.592,2.038,6.2700000000000005,3.59,2.344,0.0,1.738,0.198,0.848,1.958,7.582,1.8599999999999999,0.0,0.722,0.0,0.0,6.126,2.9240000000000004,0.716,1.906,0.606,2.202,2.4459999999999997,2.2960000000000003,3.524,2.862,1.316,0.0,1.436,1.83,3.82,1.182,0.0,2.268,0.5820000000000001,0.0,0.0,1.03,2.87,2.62,1.172,1.6320000000000001,0.604,3.318,5.280000000000001,1.036,3.58,1.6480000000000001,0.46,1.55,0.988,3.024,2.278,4.306,1.5699999999999998,2.31,0.34,0.5820000000000001,0.0,1.7780000000000002,2.318,1.3419999999999999,0.0,0.652,0.474,1.268,2.7439999999999998,3.638,2.0260000000000002,1.108,2.04,0.46099999999999997,2.5560000000000005,7.053999999999999,2.8699999999999997,3.5660000000000003,4.262,1.034,0.0,3.9160000000000004,2.676,0.886
25,6.356,0.6439999999999999,3.0460000000000003,7.953,2.391,19.478,0.02,0.0,0.008,2.004,2.0,2.0,5.0889999999999995,11.424,4.6,8.105,6.316,0.136,4.24,10.514,8.078,5.433,3.3019999999999996,11.91,0.0,0.424,0.004,3.5060000000000002,4.458,18.21,4.008,2.004,2.083,6.208,11.271,0.0,8.824,0.02,2.0,0.0,28.0,4.699,2.2,7.002000000000001,6.888,3.0,24.924,7.105,8.023999999999997,16.289,5.248,9.614999999999998,16.0,1.2489999999999999,0.002,12.587,4.0,19.668000000000003,0.0,7.866,4.005,1.116,10.208,4.115,34.367000000000004,0.23399999999999999,1.454,2.6000000000000005,10.009999999999998,0.003,8.5,2.144,2.001,13.01,32.565000000000005,6.695,5.64,5.069,1.0030000000000001,32.126,8.455,7.556,0.202,3.0,3.5460000000000003,2.354,8.677,0.0,5.833,10.927999999999999,7.281999999999999,7.0,2.0,4.632000000000001,6.723000000000001,28.492,6.667999999999999,1.246,0.588,17.114,6.066,2.652,7.2,1.614,10.923,8.266,2.0,2.621,6.2,28.0,5.4,9.5,18.005,0.469,2.0,0.49600000000000005,4.0,27.093000000000004,2.232,3.18,0.4,16.505000000000003,1.071,0.9020000000000001,28.4,3.024,9.704,2.684,1.444,2.214,1.046,5.0009999999999994,4.0,10.3,32.730000000000004,0.0,18.0,2.299,2.482,18.15,2.608,0.582,0.202,32.006,9.298,0.752,0.004,34.004999999999995,2.003,9.001999999999999,2.608,15.276,0.185,1.708,6.384,38.693999999999996,0.632,2.005,5.1000000000000005,1.188,36.001,6.816000000000001,2.8360000000000003,8.301,0.42800000000000005,12.233,24.046000000000003,0.015,0.596,2.003,11.006,13.0,5.37,29.019000000000002,4.546,0.0,4.0600000000000005,21.055,2.5,13.0,2.0,14.712000000000002
