pluno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
100,11.0,12.0,9.0,9.0,5.0,7.0,8.0,4.0,9.0,7.0,21.0,8.0,4.0,16.0,11.0,10.0,7.0,14.0,8.0,19.0,8.0,7.0,5.0,8.0,15.0,11.0
101,132.0,44.0,53.0,37.0,29.0,17.0,39.0,45.0,66.0,33.0,35.0,59.0,57.0,36.0,39.0,33.0,25.0,51.0,58.0,37.0,52.0,64.0,55.0,48.0,90.0,59.0
102,46.0,0.0,7.0,3.0,3.0,2.0,9.0,13.0,4.0,19.0,20.0,0.0,2.0,5.0,14.0,6.0,4.0,2.0,23.0,0.0,4.0,0.0,2.0,1.0,3.0,1.0
103,0.0,25.0,15.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,6.0,5.0,6.0,13.0,5.0,11.0,52.0,1.0,13.0,5.0,16.0,30.0,10.0,5.0,4.0,0.0
104,37.0,6.0,8.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,2.0,7.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,5.0,0.0,10.0,22.0
105,20.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,11.0,4.0,2.0,1.0,20.0,1.0,10.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0
110,5.0,3.0,14.0,13.0,5.0,22.0,11.0,13.0,2.0,19.0,23.0,17.0,22.0,12.0,1.0,5.0,4.0,7.0,5.0,14.0,3.0,10.0,9.0,6.0,5.0,6.0
111,6.0,5.0,9.0,7.0,4.0,5.0,1.0,11.0,42.0,5.0,4.0,8.0,4.0,5.0,3.0,1.0,7.0,152.0,3.0,42.0,5.0,3.0,2.0,21.0,3.0,2.0
112,15.0,3.0,14.0,6.0,11.0,5.0,12.0,11.0,7.0,5.0,6.0,5.0,9.0,1.0,5.0,2.0,9.0,6.0,9.0,7.0,6.0,9.0,8.0,10.0,6.0,16.0
113,13.0,7.0,15.0,6.0,5.0,14.0,8.0,17.0,10.0,15.0,12.0,7.0,4.0,20.0,6.0,4.0,24.0,7.0,13.0,5.0,9.0,14.0,6.0,14.0,14.0,9.0
114,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,28.0,4.0,14.0,18.0,17.0,11.0,21.0,24.0,10.0,24.0,21.0,25.0,16.0,13.0,25.0,10.0,21.0,19.0,16.0,16.0,9.0,14.0,9.0,26.0,16.0,37.0
140,86.0,24.0,41.0,52.0,20.0,51.0,42.0,56.0,80.0,47.0,58.0,32.0,51.0,35.0,42.0,32.0,52.0,40.0,88.0,35.0,56.0,54.0,48.0,47.0,58.0,54.0
141,29.0,23.0,12.0,12.0,10.0,7.0,23.0,14.0,20.0,27.0,18.0,16.0,11.0,24.0,11.0,16.0,24.0,13.0,11.0,10.0,10.0,6.0,15.0,11.0,9.0,11.0
142,8.0,12.0,19.0,13.0,23.0,3.0,17.0,10.0,19.0,15.0,22.0,6.0,23.0,7.0,18.0,21.0,14.0,17.0,17.0,20.0,13.0,13.0,18.0,31.0,14.0,23.0
143,5.0,12.0,0.0,0.0,1.0,4.0,7.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,9.0,2.0,3.0,6.0,7.0
144,6.433999999999999,0.0,0.664,0.0,0.9500000000000001,0.0,0.9500000000000002,0.192,2.044,0.948,0.588,0.0,1.1219999999999999,2.204,1.672,1.468,0.46,0.5559999999999999,1.773,3.8660000000000005,0.0,0.0,0.0,2.048,1.81,1.8760000000000001
145,16.0,3.0,6.0,17.0,24.0,9.0,4.0,17.0,21.0,10.0,10.0,8.0,10.0,15.0,10.0,16.0,12.0,10.0,6.0,8.0,9.0,8.0,13.0,15.0,8.0,14.0
146,9.0,2.0,22.0,5.0,1.0,4.0,3.0,4.0,9.0,13.0,4.0,2.0,1.0,6.0,5.0,1.0,0.0,1.0,10.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0
147,39.0,20.0,34.0,24.0,19.0,14.0,18.0,27.0,18.0,17.0,14.0,19.0,10.0,22.0,25.0,14.0,9.0,17.0,14.0,11.0,15.0,19.0,19.0,20.0,22.0,20.0
148,67.0,380.0,53.0,57.0,30.0,39.0,66.0,43.0,34.0,29.0,45.0,23.0,31.0,54.0,50.0,39.0,36.0,34.0,20.0,30.0,34.0,40.0,32.0,52.0,33.0,33.0
149,23.0,10.0,19.0,16.0,10.0,6.0,24.0,15.0,7.0,10.0,11.0,9.0,4.0,11.0,27.0,10.0,10.0,17.0,10.0,11.0,12.0,17.0,10.0,14.0,1.0,20.0
150,30.0,6.0,4.0,15.0,5.0,5.0,15.0,18.0,16.0,13.0,25.0,22.0,4.0,13.0,18.0,21.0,14.0,13.0,10.0,14.0,18.0,9.0,7.0,29.0,13.0,12.0
151,234.0,80.0,113.0,113.0,141.0,130.0,134.0,198.0,236.0,147.0,845.0,106.0,113.0,146.0,919.0,180.0,212.0,131.0,160.0,144.0,203.0,217.0,156.0,185.0,208.0,247.0
