pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10000,18.0,14.0,25.0,18.0,24.0,23.0
10001,9.0,2.0,2.0,5.0,5.0,4.0
10002,5.0,9.0,15.0,17.0,19.0,13.0
10008,9.0,0.0,6.0,6.0,5.0,0.0
10100,1.0,0.0,0.0,6.0,5.0,5.0
10101,1.0,0.0,0.0,0.0,0.0,0.0
10102,3.0,0.0,0.0,0.0,1.0,0.0
10103,2.0,0.0,0.0,1.0,0.0,3.0
10109,7.0,0.0,4.0,1.0,4.0,8.0
10110,13.0,4.0,3.0,8.0,8.0,8.0
10111,1.0,0.0,1.0,4.0,0.0,1.0
10112,6.0,0.0,0.0,2.0,1.0,4.0
10113,12.0,3.0,0.0,4.0,5.0,1.0
10114,3.0,4.0,3.0,1.0,2.0,1.0
10116,35.0,15.0,11.0,12.0,1.0,8.0
10117,0.0,0.0,4.0,1.0,3.0,0.0
10119,83.0,14.0,25.0,12.0,13.0,19.0
10120,0.0,0.0,0.0,0.0,1.0,0.0
10130,3.0,4.0,2.0,6.0,15.0,14.0
10131,1.0,2.0,2.0,15.0,10.0,16.0
10132,1.0,4.0,3.0,7.0,13.0,10.0
10133,0.0,0.0,1.0,0.0,3.0,4.0
10135,10.0,3.0,1.0,5.0,3.0,1.0
10136,8.0,4.0,4.0,0.0,7.0,7.0
10137,2.0,7.0,5.0,0.0,2.0,3.0
10140,6.0,9.0,8.0,9.0,6.0,38.0
10141,40.0,49.0,74.0,39.0,51.0,92.0
10150,22.0,22.0,23.0,23.0,57.0,10.0
10151,5.0,5.0,21.0,1.0,11.0,16.0
10152,3.0,1.0,14.0,1.0,6.0,10.0
10153,1.0,0.0,0.0,0.0,0.0,0.0
10200,5.0,13.0,1.0,5.0,3.0,3.0
10201,51.0,14.0,41.0,26.0,26.0,2.0
10202,0.0,1.0,0.0,0.0,0.0,0.0
10203,0.0,0.0,0.0,0.0,0.0,2.0
10300,39.0,2.0,14.0,79.0,13.0,20.0
10309,3.0,3.0,0.0,0.0,0.0,0.0
10310,0.0,1.0,2.0,0.0,30.0,15.0
10312,0.0,0.0,3.0,0.0,6.0,0.0
10319,0.0,0.0,1.0,2.0,0.0,0.0
10400,4.0,0.0,0.0,0.0,1.0,0.0
10401,12.0,0.0,3.0,3.0,5.0,22.0
10410,1.0,1.0,0.0,0.0,0.0,0.0
10411,0.0,1.0,0.0,0.0,0.0,0.0
10420,6.0,0.0,1.0,0.0,0.0,1.0
10421,5.0,1.0,0.0,0.0,0.0,0.0
10422,4.0,1.0,1.0,0.0,0.0,3.0
10435,10.0,3.0,4.0,2.0,5.0,4.0
10439,2.0,0.0,1.0,0.0,1.0,0.0
10440,4.0,2.0,0.0,0.0,0.0,0.0
10441,3.0,0.0,1.0,6.0,0.0,1.0
10443,1.0,0.0,0.0,0.0,0.0,0.0
10450,1.0,0.0,0.0,1.0,0.0,6.0
10454,2.0,0.0,1.0,0.0,0.0,0.0
10501,22.0,2.0,36.0,12.0,0.0,0.0
10502,1.0,6.0,2.0,11.0,1.0,0.0
10603,1.0,0.0,0.0,0.0,0.0,0.0
10701,0.0,0.0,0.0,18.0,52.0,0.0
11000,0.0,1.0,0.0,0.0,0.0,1.0
11002,1.0,0.0,0.0,0.0,0.0,0.0
11003,0.0,0.0,1.0,0.0,0.0,0.0
11004,4.0,1.0,0.0,0.0,0.0,1.0
11005,2.0,1.0,0.0,1.0,0.0,0.0
11006,0.0,0.0,0.0,1.0,0.0,2.0
11008,1.0,0.0,1.0,0.0,0.0,0.0
11010,0.0,1.0,0.0,0.0,0.0,0.0
11011,7.0,7.0,2.0,6.0,3.0,1.0
11020,3.0,0.0,1.0,0.0,0.0,3.0
11022,7.0,5.0,4.0,3.0,2.0,1.0
11023,1.0,0.0,0.0,0.0,0.0,0.0
11030,0.0,0.0,2.0,0.0,0.0,0.0
11031,0.0,0.0,0.0,0.0,0.0,1.0
11034,0.0,1.0,0.0,1.0,0.0,0.0
11040,0.0,0.0,0.0,0.0,1.0,0.0
11041,0.0,0.0,0.0,0.0,3.0,3.0
11042,0.0,0.0,0.0,0.0,1.0,3.0
11043,0.0,0.0,0.0,0.0,1.0,1.0
11044,0.0,0.0,1.0,3.0,5.0,2.0
11046,0.0,0.0,1.0,2.0,1.0,1.0
11050,0.0,0.0,0.0,1.0,0.0,0.0
11051,0.0,0.0,0.0,0.0,1.0,0.0
11052,2.0,4.0,2.0,0.0,2.0,0.0
11054,5.0,2.0,5.0,2.0,1.0,3.0
11055,1.0,3.0,0.0,0.0,0.0,0.0
11056,0.0,14.0,48.0,9.0,4.0,5.0
11057,1.0,11.0,7.0,1.0,4.0,6.0
11058,1.0,0.0,1.0,0.0,0.0,0.0
11100,0.0,0.0,1.0,0.0,1.0,2.0
11101,1.0,0.0,2.0,0.0,0.0,1.0
11102,1.0,0.0,0.0,1.0,5.0,1.0
11103,0.0,0.0,0.0,1.0,1.0,2.0
11104,1.0,2.0,2.0,5.0,0.0,3.0
11105,0.0,0.0,0.0,0.0,1.0,0.0
11110,12.0,13.0,48.0,152.0,43.0,9.0
11111,3.0,2.0,1.0,1.0,0.0,1.0
11112,2.0,2.0,0.0,3.0,0.0,0.0
11114,3.0,1.0,1.0,0.0,0.0,0.0
11115,0.0,0.0,2.0,0.0,0.0,5.0
11116,0.0,0.0,0.0,1.0,1.0,0.0
11120,0.0,1.0,0.0,0.0,0.0,0.0
11121,0.0,0.0,2.0,0.0,2.0,0.0
11140,0.0,0.0,0.0,0.0,0.0,1.0
11141,4.0,1.0,2.0,1.0,0.0,6.0
11200,1.0,2.0,1.0,2.0,3.0,6.0
11201,1.0,2.0,0.0,0.0,0.0,1.0
11204,1.0,0.0,0.0,0.0,0.0,0.0
11205,0.0,2.0,0.0,0.0,0.0,1.0
11210,0.0,2.0,0.0,1.0,0.0,0.0
11212,0.0,0.0,0.0,0.0,0.0,3.0
11220,14.0,4.0,5.0,1.0,8.0,5.0
11221,11.0,3.0,0.0,4.0,4.0,3.0
11222,0.0,2.0,3.0,1.0,4.0,2.0
11230,8.0,3.0,9.0,3.0,3.0,8.0
11231,3.0,2.0,4.0,2.0,1.0,3.0
11232,0.0,1.0,0.0,0.0,0.0,0.0
11233,3.0,3.0,3.0,2.0,3.0,0.0
11234,0.0,1.0,0.0,0.0,0.0,0.0
11235,0.0,0.0,0.0,0.0,1.0,0.0
11240,3.0,2.0,2.0,2.0,0.0,0.0
11241,1.0,3.0,2.0,2.0,0.0,5.0
11250,0.0,0.0,0.0,0.0,5.0,7.0
11300,12.0,20.0,11.0,25.0,15.0,18.0
11301,10.0,2.0,7.0,8.0,4.0,10.0
11302,1.0,4.0,2.0,4.0,1.0,6.0
11303,13.0,17.0,20.0,12.0,11.0,13.0
11304,3.0,1.0,5.0,4.0,0.0,5.0
11305,2.0,0.0,1.0,0.0,4.0,0.0
