pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10000000,1.0,2.0,0.0,0.0,1.0,0.0
10000003,0.0,1.0,0.0,0.0,0.0,1.0
10000004,1.0,0.0,1.0,3.0,1.0,1.0
10000005,1.0,0.0,0.0,2.0,1.0,1.0
10000006,3.0,1.0,10.0,4.0,3.0,3.0
10000007,2.0,1.0,1.0,0.0,1.0,0.0
10000009,2.0,2.0,0.0,2.0,3.0,0.0
10000010,1.0,0.0,0.0,2.0,1.0,4.0
10000011,4.0,1.0,5.0,4.0,4.0,3.0
10000012,1.0,1.0,1.0,1.0,0.0,1.0
10000013,0.0,0.0,0.0,0.0,3.0,0.0
10000015,2.0,2.0,6.0,0.0,0.0,1.0
10000016,0.0,2.0,0.0,0.0,2.0,0.0
10000017,0.0,1.0,0.0,0.0,0.0,0.0
10000025,0.0,0.0,1.0,0.0,4.0,8.0
10001002,1.0,0.0,0.0,0.0,1.0,1.0
10001003,5.0,0.0,0.0,0.0,0.0,0.0
10001006,3.0,1.0,1.0,0.0,0.0,0.0
10001007,0.0,1.0,1.0,5.0,4.0,3.0
10002000,0.0,0.0,1.0,2.0,0.0,0.0
10002002,0.0,0.0,0.0,0.0,0.0,1.0
10002003,1.0,0.0,0.0,1.0,1.0,0.0
10002004,0.0,1.0,2.0,0.0,0.0,0.0
10002005,0.0,0.0,1.0,0.0,1.0,0.0
10002006,1.0,0.0,0.0,1.0,0.0,0.0
10002007,0.0,0.0,0.0,0.0,2.0,0.0
10002009,0.0,1.0,1.0,0.0,0.0,0.0
10002012,0.0,0.0,0.0,3.0,0.0,0.0
10002015,0.0,1.0,0.0,1.0,1.0,0.0
10002017,0.0,1.0,0.0,1.0,1.0,0.0
10002019,0.0,0.0,0.0,3.0,0.0,2.0
10002020,0.0,0.0,3.0,0.0,0.0,0.0
10002022,0.0,0.0,0.0,1.0,1.0,1.0
10002025,1.0,0.0,0.0,1.0,0.0,0.0
10002026,0.0,1.0,0.0,0.0,1.0,0.0
10002027,0.0,1.0,1.0,0.0,1.0,0.0
10002028,0.0,0.0,0.0,0.0,1.0,0.0
10002029,0.0,0.0,0.0,1.0,0.0,0.0
10002030,1.0,1.0,0.0,0.0,1.0,0.0
10002031,1.0,0.0,1.0,0.0,1.0,0.0
10002033,0.0,0.0,0.0,0.0,2.0,0.0
10002034,0.0,1.0,0.0,0.0,1.0,0.0
