pluno,bndno,pluno1,pluno2,pluno3,pluno4,sldatime,isweekday,qty,d-1,d-2,d-3,d-4,d-5,d-6,d-7
22000005,22000,22,220,2200,22000,2016-07-31,0,704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000008,22000,22,220,2200,22000,2016-02-18,1,704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000009,22000,22,220,2200,22000,2016-07-25,1,666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000009,22000,22,220,2200,22000,2016-07-27,1,1120,0.0,666,0.0,0.0,0.0,0.0,0.0
22000010,22000,22,220,2200,22000,2016-03-16,1,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000010,22000,22,220,2200,22000,2016-03-20,0,814,0.0,0.0,0.0,1914.0,0.0,0.0,0.0
22000010,22000,22,220,2200,22000,2016-03-22,1,566,0.0,814,0.0,0.0,0.0,1914.0,0.0
22000010,22000,22,220,2200,22000,2016-03-23,1,1358,566.0,0.0,814,0.0,0.0,0.0,1914.0
22000010,22000,22,220,2200,22000,2016-03-25,1,952,0.0,1358.0,566.0,0.0,814,0.0,0.0
22000010,22000,22,220,2200,22000,2016-03-26,0,1962,952.0,0.0,1358.0,566.0,0.0,814,0.0
22000010,22000,22,220,2200,22000,2016-03-27,0,696,1962.0,952.0,0.0,1358.0,566.0,0.0,814
22000010,22000,22,220,2200,22000,2016-04-02,0,380,0.0,0.0,0.0,0.0,0.0,696.0,1962.0
22000014,22000,22,220,2200,22000,2016-06-29,1,618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000014,22000,22,220,2200,22000,2016-07-19,1,492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000029,22000,22,220,2200,22000,2016-03-23,1,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000029,22000,22,220,2200,22000,2016-04-05,1,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000029,22000,22,220,2200,22000,2016-04-06,1,1,1022.0,0.0,0.0,0.0,0.0,0.0,0.0
22000029,22000,22,220,2200,22000,2016-04-17,0,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000029,22000,22,220,2200,22000,2016-05-09,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000031,22000,22,220,2200,22000,2016-06-11,0,702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000031,22000,22,220,2200,22000,2016-06-24,1,586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000031,22000,22,220,2200,22000,2016-07-03,0,1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000031,22000,22,220,2200,22000,2016-07-15,1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-03-06,0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-03-19,0,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-03-20,0,1526,1170.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-03-26,0,1202,0.0,0.0,0.0,0.0,0.0,1526.0,1170.0
22000049,22000,22,220,2200,22000,2016-04-09,0,1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-04-10,0,2406,1048.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-04-20,1,662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-04-21,1,2264,662.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-04-22,1,1996,2264.0,662.0,0.0,0.0,0.0,0.0,0.0
22000049,22000,22,220,2200,22000,2016-04-23,0,1078,1996.0,2264.0,662.0,0.0,0.0,0.0,0.0
