pluno, d-1,d-2,d-3,d-4,d-5,d-6,d-7
22000005,0.0,0.0,0.0,1120.0,0.0,666.0,1070.0
22000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000009,1070.0,0.0,0.0,0.0,0.0,492.0,0.0
22000009,0.0,666.0,1070.0,0.0,0.0,0.0,0.0
22000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000010,1170.0,0.0,0.0,1914.0,0.0,0.0,0.0
22000010,0.0,2340.0,1170.0,0.0,0.0,1914.0,0.0
22000010,566.0,0.0,2340.0,1170.0,0.0,0.0,1914.0
22000010,0.0,3350.0,566.0,0.0,2340.0,1170.0,0.0
22000010,952.0,0.0,3350.0,566.0,0.0,2340.0,1170.0
22000010,3164.0,952.0,0.0,3350.0,566.0,0.0,2340.0
22000010,0.0,0.0,0.0,0.0,0.0,696.0,3164.0
22000014,1212.0,0.0,0.0,0.0,586.0,0.0,0.0
22000014,0.0,0.0,728.0,600.0,0.0,0.0,0.0
22000029,566.0,0.0,2340.0,1170.0,0.0,0.0,1914.0
22000029,0.0,0.0,380.0,0.0,0.0,0.0,0.0
22000029,1022.0,0.0,0.0,380.0,0.0,0.0,0.0
22000029,0.0,0.0,0.0,0.0,0.0,0.0,2406.0
22000029,984.0,0.0,0.0,0.0,1656.0,0.0,0.0
22000031,0.0,0.0,0.0,0.0,0.0,1308.0,0.0
22000031,0.0,0.0,0.0,956.0,0.0,0.0,0.0
22000031,0.0,0.0,0.0,618.0,1212.0,0.0,0.0
22000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,1914.0,0.0,0.0,0.0,0.0
22000049,1170.0,0.0,0.0,1914.0,0.0,0.0,0.0
22000049,952.0,0.0,3350.0,566.0,0.0,2340.0,1170.0
22000049,0.0,0.0,1.0,1022.0,0.0,0.0,380.0
22000049,1048.0,0.0,0.0,1.0,1022.0,0.0,0.0
22000049,0.0,0.0,510.0,0.0,0.0,0.0,0.0
22000049,662.0,0.0,0.0,510.0,0.0,0.0,0.0
22000049,2264.0,662.0,0.0,0.0,510.0,0.0,0.0
22000049,1996.0,2264.0,662.0,0.0,0.0,510.0,0.0
22000049,0.0,0.0,1078.0,1996.0,2264.0,662.0,0.0
22000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,0.0,1656.0,0.0,0.0,0.0
22000049,3.0,984.0,0.0,0.0,0.0,1656.0,0.0
22000049,0.0,0.0,1448.0,3.0,984.0,0.0,0.0
22000049,0.0,0.0,528.0,0.0,0.0,1448.0,3.0
22000049,0.0,0.0,0.0,0.0,1702.0,0.0,0.0
22000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,690.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,0.0,0.0,0.0,1308.0,0.0
22000049,0.0,0.0,2368.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,0.0,0.0,0.0,1136.0,0.0
22000049,0.0,0.0,0.0,586.0,0.0,0.0,0.0
22000049,600.0,0.0,0.0,0.0,0.0,0.0,0.0
22000049,0.0,0.0,0.0,0.0,492.0,0.0,0.0
22001000,5084.0,0.0,0.0,0.0,0.0,0.0,0.0
22001000,0.0,0.0,0.0,0.0,1230.0,0.0,0.0
22001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001001,0.0,0.0,0.0,0.0,0.0,0.0,1634.0
22001001,1324.0,1256.0,982.0,5084.0,0.0,0.0,0.0
22001001,0.0,900.0,398.0,0.0,5714.0,1324.0,1256.0
22001001,4070.0,0.0,900.0,398.0,0.0,5714.0,1324.0
22001001,1314.0,4070.0,0.0,900.0,398.0,0.0,5714.0
22001001,0.0,704.0,1314.0,4070.0,0.0,900.0,398.0
22001001,0.0,0.0,5218.0,0.0,704.0,1314.0,4070.0
22001001,960.0,0.0,0.0,5218.0,0.0,704.0,1314.0
22001001,0.0,0.0,0.0,0.0,1502.0,844.0,0.0
22001001,0.0,0.0,0.0,0.0,1078.0,788.0,0.0
22001001,266.0,0.0,0.0,0.0,0.0,0.0,0.0
22001003,0.0,0.0,0.0,0.0,0.0,0.0,1776.0
22001006,1396.0,0.0,0.0,0.0,0.0,1502.0,844.0
22001006,2356.0,1396.0,0.0,0.0,0.0,0.0,1502.0
22001006,1184.0,2356.0,1396.0,0.0,0.0,0.0,0.0
22001006,0.0,0.0,1462.0,1586.0,1184.0,2356.0,1396.0
22001006,0.0,3530.0,0.0,0.0,1462.0,1586.0,1184.0
22001006,1496.0,0.0,3530.0,0.0,0.0,1462.0,1586.0
22001006,0.0,1242.0,1406.0,1496.0,0.0,3530.0,0.0
22001006,3202.0,0.0,1242.0,1406.0,1496.0,0.0,3530.0
22001006,820.0,3202.0,0.0,1242.0,1406.0,1496.0,0.0
22001006,1090.0,3072.0,820.0,3202.0,0.0,1242.0,1406.0
22001006,2532.0,1090.0,3072.0,820.0,3202.0,0.0,1242.0
22001006,1518.0,2532.0,1090.0,3072.0,820.0,3202.0,0.0
22001006,0.0,0.0,2024.0,1518.0,2532.0,1090.0,3072.0
22001006,0.0,0.0,2190.0,0.0,0.0,2024.0,1518.0
22001006,0.0,0.0,3454.0,0.0,0.0,2190.0,0.0
22001006,2196.0,0.0,0.0,3454.0,0.0,0.0,2190.0
22001006,5326.0,2196.0,0.0,0.0,3454.0,0.0,0.0
22001006,0.0,878.0,1862.0,5326.0,2196.0,0.0,0.0
22001006,740.0,0.0,878.0,1862.0,5326.0,2196.0,0.0
22001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001006,0.0,1494.0,0.0,0.0,0.0,0.0,0.0
22001006,822.0,0.0,1494.0,0.0,0.0,0.0,0.0
22001006,826.0,822.0,0.0,1494.0,0.0,0.0,0.0
22001006,0.0,0.0,0.0,0.0,1390.0,826.0,822.0
22001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001006,788.0,0.0,2202,0.0,0.0,0.0,0.0
22001008,0.0,684.0,0.0,1284.0,0.0,840.0,0.0
22001008,0.0,0.0,3018.0,0.0,684.0,0.0,1284.0
22001008,0.0,0.0,0.0,0.0,0.0,0.0,1776.0
22001008,982.0,5084.0,0.0,0.0,0.0,0.0,0.0
