pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22000014,149,0.618,0.616,0.616,0.616,0.616,0.616,0.616,0.616
22000014,169,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492
22000031,153,1.338,1.34,1.34,1.34,1.34,1.34,1.34,1.34
22000031,165,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
22000049,148,1.212,1.212,1.212,1.212,1.212,1.212,1.212,1.212
22000049,166,0.728,0.732,0.732,0.732,0.732,0.732,0.732,0.732
22000049,174,1.07,1.078,1.078,1.078,1.078,1.078,1.078,1.078
22001000,164,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
22001000,174,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266
22001001,159,1.23,1.236,1.236,1.236,1.236,1.236,1.236,1.236
22001006,151,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978
22001006,154,1.078,1.078,1.078,1.078,1.078,1.078,1.078,1.078
22001012,151,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546
22001038,151,0.678,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22001038,153,0.788,0.79,0.79,0.79,0.79,0.79,0.79,0.79
22002008,166,0.678,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22002239,147,1.716,1.736,1.736,1.736,1.736,1.736,1.736,1.736
22002239,149,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97
22002239,150,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736
22002239,151,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
22002239,154,0.9,0.894,0.894,0.894,0.894,0.894,0.894,0.894
22002239,156,1.294,1.3,1.3,1.3,1.3,1.3,1.3,1.3
22002239,157,1.874,1.876,1.876,1.876,1.876,1.876,1.876,1.876
22002239,159,1.924,1.924,1.924,1.924,1.924,1.924,1.924,1.924
22002239,160,1.494,1.496,1.496,1.496,1.496,1.496,1.496,1.496
22002239,166,1.66,1.656,1.656,1.656,1.656,1.656,1.656,1.656
22002239,170,1.72,1.736,1.736,1.736,1.736,1.736,1.736,1.736
22002240,146,3.682,3.65,3.65,3.65,3.65,3.65,3.65,3.65
22002240,149,2.246,2.264,2.264,2.264,2.264,2.264,2.264,2.264
22002240,150,0.894,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22002240,151,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796
22002240,157,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824
22002242,150,1.624,1.634,1.634,1.634,1.634,1.634,1.634,1.634
22002242,153,0.998,0.99,0.99,0.99,0.99,0.99,0.99,0.99
22003002,165,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596
22003002,174,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
22005006,150,0.618,0.616,0.616,0.616,0.616,0.616,0.616,0.616
22005006,151,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022
22005006,157,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
22007005,157,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.724
22007008,160,1.532,1.56,1.56,1.56,1.56,1.56,1.56,1.56
22007022,151,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978
22007031,153,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495
