pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22000014,149,0.618,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000014,169,0.492,1.358,1.358,1.358,1.358,1.358,1.358,1.358
22000031,153,1.338,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000031,165,0.6,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000049,148,1.212,1.048,1.048,1.048,1.048,1.048,1.048,1.048
22000049,166,0.728,0.476,0.476,0.476,0.476,0.476,0.476,0.476
22000049,174,1.07,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001000,164,0.376,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22001000,174,0.266,0.114,0.114,0.114,0.114,0.114,0.114,0.114
22001001,159,1.23,0.814,0.814,0.814,0.814,0.814,0.814,0.814
22001006,151,0.978,1.642,1.642,1.642,1.642,1.642,1.642,1.642
22001006,154,1.078,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22001012,151,0.546,0.534,0.534,0.534,0.534,0.534,0.534,0.534
22001038,151,0.678,0.854,0.854,0.854,0.854,0.854,0.854,0.854
22001038,153,0.788,0.628,0.628,0.628,0.628,0.628,0.628,0.628
22002008,166,0.678,0.662,0.662,0.662,0.662,0.662,0.662,0.662
22002239,147,1.716,0.604,0.604,0.604,0.604,0.604,0.604,0.604
22002239,149,1.97,1.56,1.56,1.56,1.56,1.56,1.56,1.56
22002239,150,0.736,0.844,0.844,0.844,0.844,0.844,0.844,0.844
22002239,151,0.99,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22002239,154,0.9,0.894,0.894,0.894,0.894,0.894,0.894,0.894
22002239,156,1.294,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,157,1.874,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22002239,159,1.924,0.628,0.628,0.628,0.628,0.628,0.628,0.628
22002239,160,1.494,0.714,0.714,0.714,0.714,0.714,0.714,0.714
22002239,166,1.66,1.666,1.666,1.666,1.666,1.666,1.666,1.666
22002239,170,1.72,0.865,0.865,0.865,0.865,0.865,0.865,0.865
22002240,146,3.682,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002240,149,2.246,0.92,0.92,0.92,0.92,0.92,0.92,0.92
22002240,150,0.894,2.532,2.532,2.532,2.532,2.532,2.532,2.532
22002240,151,0.796,0.896,0.896,0.896,0.896,0.896,0.896,0.896
22002240,157,0.824,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22002242,150,1.624,2.416,2.416,2.416,2.416,2.416,2.416,2.416
22002242,153,0.998,0.94,0.94,0.94,0.94,0.94,0.94,0.94
22003002,165,0.596,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22003002,174,0.792,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22005006,150,0.618,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22005006,151,1.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22005006,157,0.438,0.202,0.202,0.202,0.202,0.202,0.202,0.202
22007005,157,0.724,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22007008,160,1.532,0.495,0.495,0.495,0.495,0.495,0.495,0.495
22007022,151,0.978,0.512,0.512,0.512,0.512,0.512,0.512,0.512
22007031,153,0.495,0.484,0.484,0.484,0.484,0.484,0.484,0.484
22007031,158,2.0,0.495,0.495,0.495,0.495,0.495,0.495,0.495
22007031,160,2.0,12.184,12.184,12.184,12.184,12.184,12.184,12.184
22007031,161,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22007031,169,0.64,0.624,0.624,0.624,0.624,0.624,0.624,0.624
22008007,170,0.126,0.25,0.25,0.25,0.25,0.25,0.25,0.25
22008009,147,0.754,0.694,0.694,0.694,0.694,0.694,0.694,0.694
22008009,149,0.484,0.486,0.486,0.486,0.486,0.486,0.486,0.486
22008009,152,0.476,0.486,0.486,0.486,0.486,0.486,0.486,0.486
22008009,170,0.586,0.492,0.492,0.492,0.492,0.492,0.492,0.492
22008012,147,0.382,0.3,0.3,0.3,0.3,0.3,0.3,0.3
22008012,165,0.304,0.432,0.432,0.432,0.432,0.432,0.432,0.432
22008019,151,0.732,0.734,0.734,0.734,0.734,0.734,0.734,0.734
22008019,153,0.554,0.694,0.694,0.694,0.694,0.694,0.694,0.694
22008019,165,0.604,0.662,0.662,0.662,0.662,0.662,0.662,0.662
22008020,160,0.39,0.288,0.288,0.288,0.288,0.288,0.288,0.288
22008021,151,0.598,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22008021,152,0.536,0.534,0.534,0.534,0.534,0.534,0.534,0.534
22008021,171,0.502,0.498,0.498,0.498,0.498,0.498,0.498,0.498
22008021,172,0.454,0.452,0.452,0.452,0.452,0.452,0.452,0.452
22008022,170,0.166,0.25,0.25,0.25,0.25,0.25,0.25,0.25
22010032,174,0.22,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22020004,174,2.21,1.134,1.134,1.134,1.134,1.134,1.134,1.134
22020006,146,3.446,2.46,2.46,2.46,2.46,2.46,2.46,2.46
22020006,170,3.64,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22020006,173,2.41,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22020010,152,2.029,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22020010,159,5.092,2.698,2.698,2.698,2.698,2.698,2.698,2.698
22021009,155,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22021260,151,7.79,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22030005,151,0.54,0.516,0.516,0.516,0.516,0.516,0.516,0.516
