pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22000014,149,0.618,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000014,169,0.492,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000031,153,1.338,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000031,165,0.6,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000049,148,1.212,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000049,166,0.728,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000049,174,1.07,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001000,164,0.376,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001000,174,0.266,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001001,159,1.23,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22001006,151,0.978,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001006,154,1.078,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001012,151,0.546,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001038,4,1.18,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22001038,5,3.488,3.018,3.018,3.018,3.018,3.018,3.018,3.018
22001038,151,0.678,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001038,153,0.788,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22002008,166,0.678,1.188,1.188,1.188,1.188,1.188,1.188,1.188
22002239,147,1.716,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22002239,149,1.97,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,150,0.736,0.704,0.704,0.704,0.704,0.704,0.704,0.704
22002239,151,0.99,0.972,0.972,0.972,0.972,0.972,0.972,0.972
22002239,154,0.9,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22002239,156,1.294,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22002239,157,1.874,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,159,1.924,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22002239,160,1.494,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22002239,166,1.66,1.62,1.62,1.62,1.62,1.62,1.62,1.62
22002239,170,1.72,1.258,1.258,1.258,1.258,1.258,1.258,1.258
