pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22000014,149,0.618,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000014,169,0.492,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000031,153,1.338,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000031,165,0.6,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22000049,148,1.212,0.69,0.69,0.69,0.69,0.69,0.69,0.69
22000049,166,0.728,2.406,2.406,2.406,2.406,2.406,2.406,2.406
22000049,174,1.07,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001000,164,0.376,0.414,0.414,0.414,0.414,0.414,0.414,0.414
22001000,174,0.266,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001001,159,1.23,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22001006,151,0.978,1.328,1.328,1.328,1.328,1.328,1.328,1.328
22001006,154,1.078,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22001012,151,0.546,0.586,0.586,0.586,0.586,0.586,0.586,0.586
22001038,151,0.678,1.258,1.258,1.258,1.258,1.258,1.258,1.258
22001038,153,0.788,1.188,1.188,1.188,1.188,1.188,1.188,1.188
22002008,166,0.678,1.188,1.188,1.188,1.188,1.188,1.188,1.188
22002239,147,1.716,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22002239,149,1.97,1.066,1.066,1.066,1.066,1.066,1.066,1.066
22002239,150,0.736,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,151,0.99,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,154,0.9,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,156,1.294,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,157,1.874,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,159,1.924,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,160,1.494,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,166,1.66,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002239,170,1.72,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002240,146,3.682,2.372,2.372,2.372,2.372,2.372,2.372,2.372
22002240,149,2.246,2.372,2.372,2.372,2.372,2.372,2.372,2.372
